,budget,genres,id,imdb_id,original_title,release_date,revenue,vote_average,vote_count
0,250000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}]",12444.0,tt0926084,Harry Potter and the Deathly Hallows: Part 1,2010-10-17,954305868.0,7.8,16170.0
1,165000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",10191.0,tt0892769,How to Train Your Dragon,2010-03-18,494878759.0,7.8,11036.0
2,200000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",10138.0,tt1228705,Iron Man 2,2010-04-28,623933331.0,6.8,18118.0
3,30000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",862.0,tt0114709,Toy Story,1995-10-30,373554033.0,8.0,15570.0
4,160000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 12, 'name': 'Adventure'}]",27205.0,tt1375666,Inception,2010-07-15,825532764.0,8.4,31837.0
5,95000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",32657.0,tt0814255,Percy Jackson & the Olympians: The Lightning Thief,2010-02-01,226497209.0,6.2,6420.0
6,237000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",19995.0,tt0499549,Avatar,2009-12-10,2847246203.0,7.5,25686.0
7,200000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}, {'id': 35, 'name': 'Comedy'}]",10193.0,tt0435761,Toy Story 3,2010-06-16,1066969703.0,7.8,12628.0
8,69000000.0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",20352.0,tt1323594,Despicable Me,2010-07-08,533679475.0,7.2,13208.0
9,130000000.0,"[{'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 878, 'name': 'Science Fiction'}]",38055.0,tt1001526,Megamind,2010-10-28,321885765.0,6.9,5708.0
