,title,production_budget,domestic_gross,worldwide_gross
4253,10 Cloverfield Lane,5000000,72100000,108300000
350,"10,000 B.C.",105000000,94800000,269100000
505,102 Dalmatians,85000000,66900000,66900000
2017,12 Monkeys,29000000,57100000,168800000
2517,12 Years a Slave,20000000,56700000,181000000
1595,13 Going On 30,37000000,57100000,97700000
1129,13 Hours: The Secret Soldiers of Benghazi,50000000,52900000,69400000
2401,1408,22500000,72000000,131300000
1419,17 Again,40000000,64200000,139500000
622,2 Fast 2 Furious,76000000,127100000,236400000
838,2 Guns,61000000,75600000,132500000
3526,2001: A Space Odyssey,10500000,59900000,71900000
58,2012,200000000,166100000,757700000
1638,21,35000000,81200000,159800000
1343,21 Jump Street,42000000,138400000,202800000
1084,22 Jump Street,50000000,191700000,331300000
1862,27 Dresses,30000000,76800000,160200000
2995,3 Men and a Baby,15000000,167800000,167800000
844,300,60000000,210600000,454200000
325,300: Rise of an Empire,110000000,106600000,330800000
1224,3:10 to Yuma,48000000,53600000,71200000
1821,42,31000000,95000000,97500000
638,50 First Dates,75000000,120800000,196300000
1369,8 Mile,41000000,116700000,245800000
2039,A Bad Moms Christmas,28000000,72100000,127700000
611,A Beautiful Mind,78000000,170700000,317700000
1252,A Bug's Life,45000000,162800000,363100000
886,A Civil Action,60000000,56700000,56700000
2185,A Dogâs Purpose,25000000,64300000,203700000
1769,A Few Good Men,33000000,141300000,236500000
433,A Good Day to Die Hard,92000000,67300000,304200000
1371,A Knightâs Tale,41000000,56100000,100600000
1388,A League of Their Own,40000000,107500000,132400000
1648,A Nightmare on Elm Street,35000000,63100000,117700000
2865,A Quiet Place,17000000,188000000,334500000
2523,A Simple Favor,20000000,53500000,97600000
1604,A Star is Born,36000000,215300000,433400000
1387,A Time to Kill,40000000,108800000,152300000
357,A Wrinkle in Time,103000000,100500000,133400000
710,AVP: Alien Vs. Predator,70000000,80300000,172500000
1870,About Schmidt,30000000,65000000,107100000
3350,Ace Ventura: Pet Detective,12000000,72200000,107200000
1849,Ace Ventura: When Nature Calls,30000000,108400000,212400000
3351,Act of Valor,12000000,70000000,82500000
252,After Earth,130000000,60500000,251500000
491,Air Force One,85000000,173000000,315300000
4587,Airplane!,3500000,83500000,83500000
80,Aladdin,182000000,246700000,619200000
2043,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,67000000,101400000
344,Ali,109000000,58200000,87700000
125,Alice Through the Looking Glass,170000000,77000000,276900000
50,Alice in Wonderland,200000000,334200000,1025500000
3520,Alien,10700000,80900000,203600000
1016,Alien 3,55000000,54900000,158500000
411,Alien: Covenant,97000000,74300000,238500000
2867,Aliens,17000000,85200000,183300000
123,Alita: Battle Angel,170000000,85700000,403000000
1346,Along Came Polly,42000000,88100000,173000000
2038,Along Came a Spider,28000000,74100000,105200000
982,Alvin and the Chipmunks,55000000,217300000,362600000
548,Alvin and the Chipmunks: Chipwrecked,80000000,133100000,349100000
455,Alvin and the Chipmunks: The Road Chip,90000000,85900000,249500000
694,Alvin and the Chipmunks: The Squeakquel,70000000,219600000,443500000
1244,America's Sweethearts,46000000,93600000,160600000
2997,American Beauty,15000000,130100000,356300000
371,American Gangster,100000000,130200000,268000000
5372,American Graffiti,777000,115000000,140000000
1379,American Hustle,40000000,150100000,257900000
3343,American Pie,12000000,101800000,234700000
1840,American Pie 2,30000000,145100000,286500000
1125,American Reunion,50000000,56800000,236800000
956,American Sniper,58000000,350100000,547300000
993,American Wedding,55000000,104400000,126400000
1274,Anaconda,45000000,65600000,137000000
1851,Analyze This,30000000,106900000,176900000
1059,Anastasia,53000000,58400000,139800000
1091,Anchorman 2: The Legend Continues,50000000,127400000,172200000
2171,Anchorman: The Legend of Ron Burgundy,25000000,84100000,89500000
180,Angels & Demons,150000000,133400000,490900000
977,Anger Management,56000000,135600000,195700000
4083,Annabelle,6500000,84300000,256900000
3001,Annabelle: Creation,15000000,102100000,305400000
788,Annie,65000000,85900000,139800000
242,Ant-Man,130000000,180200000,518900000
240,Ant-Man and the Wasp,130000000,216600000,623100000
860,Antz,60000000,90800000,152500000
871,Any Given Sunday,60000000,75500000,100200000
1819,Apocalypse Now,31500000,78800000,81300000
774,Apollo 13,65000000,173800000,335800000
135,Aquaman,160000000,335100000,1146900000
1828,Arachnophobia,31000000,53200000,53200000
2503,Are We There Yet?,20000000,82700000,98100000
1326,Argo,44500000,136000000,227100000
207,Armageddon,140000000,201600000,554600000
1233,Arrival,47000000,100500000,203100000
459,Artificial Intelligence: AI,90000000,78600000,235900000
1088,As Good as it Gets,50000000,148500000,314100000
279,Assassinâs Creed,125000000,54600000,240800000
456,Atlantis: The Lost Empire,90000000,84100000,186000000
825,Austin Powers in Goldmember,63000000,213100000,296300000
2778,Austin Powers: International Man of Mystery,18000000,53900000,67700000
1627,Austin Powers: The Spy Who Shagged Me,35000000,206000000,312400000
0,Avatar,425000000,760500000,2776300000
3,Avengers: Age of Ultron,330600000,459000000,1403000000
6,Avengers: Infinity War,300000000,678800000,2048100000
1873,Babe,30000000,63700000,246100000
1758,Baby Driver,34000000,107800000,228100000
1878,Baby Mama,30000000,60500000,64200000
2723,Back to the Future,19000000,212300000,385500000
1384,Back to the Future Part II,40000000,118500000,332000000
1398,Back to the Future Part III,40000000,88100000,244100000
2371,Bad Boys,23000000,65600000,141200000
247,Bad Boys II,130000000,138500000,273300000
2498,Bad Moms,20000000,113300000,181000000
2774,Bad Santa,18000000,60100000,77100000
2726,Bad Teacher,19000000,100300000,215400000
5346,Bambi,858000,102800000,268000000
3348,Barbershop,12000000,75800000,77100000
2772,Barbershop 2: Back in Business,18000000,65100000,65800000
2521,Barbershop: The Next Cut,20000000,54000000,54400000
1077,Barnyard: The Original Party Animals,51000000,72800000,118600000
1626,Batman,35000000,251200000,411300000
276,Batman & Robin,125000000,107300000,238300000
166,Batman Begins,150000000,205300000,359100000
365,Batman Forever,100000000,184000000,336500000
542,Batman Returns,80000000,162800000,266800000
17,Batman v Superman: Dawn of Justice,250000000,330400000,867500000
709,Battle: Los Angeles,70000000,83600000,213500000
31,Battleship,220000000,65200000,313500000
885,Baywatch,60000000,58100000,175900000
651,Be Cool,75000000,55800000,94900000
134,Beauty and the Beast,160000000,504000000,1259200000
3355,Beavis and Butt-Head Do America,12000000,63100000,63100000
555,Bedtime Stories,80000000,110100000,221500000
183,Bee Movie,150000000,126600000,287600000
3006,Beetlejuice,15000000,73800000,73900000
1423,Behind Enemy Lines,40000000,58900000,58900000
3007,Ben-Hur,15000000,73000000,73300000
187,Beowulf,150000000,82300000,195100000
2501,Beverly Hills Chihuahua,20000000,94500000,154200000
2992,Beverly Hills Cop,15000000,234800000,316300000
2490,Beverly Hills Cop II,20000000,153700000,276700000
581,Bewitched,80000000,63300000,131200000
470,Bicentennial Man,90000000,58200000,87400000
2766,Big,18000000,115000000,151700000
1839,Big Daddy,30000000,163500000,228600000
716,Big Fish,70000000,66400000,124000000
128,Big Hero 6,165000000,222500000,652100000
1770,Big Momma's House,33000000,117600000,173600000
1414,Big Momma's House 2,40000000,70200000,137000000
5357,Billy Jack,800000,98000000,98000000
414,Black Hawk Down,95000000,108600000,159700000
1058,Black Mass,53000000,62600000,98800000
41,Black Panther,200000000,700100000,1348300000
3245,Black Swan,13000000,107000000,331300000
1270,Blade,45000000,70100000,131200000
1049,Blade 2,54000000,81700000,154300000
79,Blade Runner 2049,185000000,92100000,259400000
799,Blade: Trinity,65000000,52400000,131400000
836,Blades of Glory,61000000,118600000,145600000
4800,Blazing Saddles,2600000,119500000,119500000
2459,Blockers,21000000,60300000,94000000
388,Blood Diamond,100000000,57400000,171400000
1889,Blow,30000000,53000000,83300000
1607,Blue Streak,36000000,68200000,117400000
983,Bohemian Rhapsody,55000000,216300000,895000000
185,Bolt,150000000,114100000,328000000
3542,Book Club,10000000,68600000,91100000
1347,Boomerang,42000000,70100000,131100000
2764,Borat,18000000,128500000,261400000
3176,Born on the Fourth of July,14000000,70000000,70000000
1009,Bowfinger,55000000,66500000,98700000
4085,Boyz n the Hood,6500000,56200000,56200000
1402,Bram Stoker's Dracula,40000000,82500000,215900000
76,Brave,185000000,237300000,554600000
684,Braveheart,72000000,75500000,209000000
1880,Bride Wars,30000000,58700000,115200000
1784,Bridesmaids,32500000,169200000,289600000
1409,Bridge of Spies,40000000,72300000,162500000
2173,Bridge to Terabithia,25000000,82200000,138000000
2181,Bridget Jones's Diary,25000000,71500000,281500000
3543,Bring it On,10000000,68400000,90500000
2493,Bringing Down the House,20000000,132700000,164700000
3229,Brokeback Mountain,13900000,83000000,177000000
791,Broken Arrow,65000000,70600000,148300000
536,Bruce Almighty,81000000,242700000,484500000
1348,BrÃ¼no,42000000,60100000,138700000
361,Bumblebee,102000000,127200000,465200000
1594,Burn After Reading,37000000,60400000,168200000
4115,Butch Cassidy and the Sundance Kid,6000000,102300000,102300000
1640,Cape Fear,35000000,79100000,182300000
16,Captain America: Civil War,250000000,408100000,1140100000
209,Captain America: The First Avenger,140000000,176700000,370600000
115,Captain America: The Winter Soldier,170000000,259700000,714400000
95,Captain Marvel,175000000,426500000,1123100000
991,Captain Phillips,55000000,107100000,220600000
1558,Captain Underpants: The First Epic Movie,38000000,73900000,126600000
693,Cars,70000000,244100000,461700000
56,Cars 2,200000000,191500000,560200000
104,Cars 3,175000000,152900000,383500000
359,Casino Royale,102000000,167400000,594400000
997,Casper,55000000,100300000,282300000
487,Cast Away,85000000,233600000,427200000
1066,Catch Me if You Can,52000000,164600000,355600000
858,Cats & Dogs,60000000,93400000,200700000
1090,Central Intelligence,50000000,127400000,217200000
1273,Changing Lanes,45000000,66800000,66800000
4214,Chariots of Fire,5500000,61600000,61900000
649,Charlie Wilson's War,75000000,66700000,119500000
163,Charlie and the Chocolate Factory,150000000,206500000,475800000
447,Charlie's Angels,90000000,125300000,259700000
290,Charlie's Angels: Full Throttle,120000000,100800000,227200000
529,Charlotte's Web,82500000,83000000,144000000
1381,Cheaper by the Dozen,40000000,138600000,190200000
865,Cheaper by the Dozen 2,60000000,82600000,135000000
1838,Chicago,30000000,170700000,306800000
178,Chicken Little,150000000,135400000,310000000
1345,Chicken Run,42000000,106800000,227800000
2182,Chocolat,25000000,71300000,152500000
1116,Christmas with the Kranks,50000000,73700000,96500000
642,Christopher Robin,75000000,99200000,197500000
3354,Chronicle,12000000,64600000,123700000
412,Cinderella,95000000,201200000,534600000
482,Cinderella Man,88000000,61600000,105000000
1003,City of Angels,55000000,78800000,198800000
271,Clash of the Titans,125000000,163200000,493200000
829,Clear and Present Danger,62000000,122000000,207500000
1349,Cleopatra,42000000,57000000,71000000
528,Click,82500000,137400000,237700000
789,Cliffhanger,65000000,84000000,255000000
2489,Close Encounters of the Third Kind,20000000,169100000,340800000
372,Cloudy with a Chance of Meatballs,100000000,124900000,236800000
612,Cloudy with a Chance of Meatballs 2,78000000,119800000,274400000
2175,Cloverfield,25000000,80000000,171300000
3230,Clueless,13700000,56600000,56600000
1271,Coach Carter,45000000,67300000,76700000
3010,Coal Miner's Daughter,15000000,67200000,67200000
101,Coco,175000000,209700000,798000000
562,Cold Mountain,80000000,95600000,165200000
857,Collateral,60000000,100200000,217700000
560,Con Air,80000000,101100000,224100000
1110,Congo,50000000,81000000,152000000
572,Conspiracy Theory,80000000,76100000,142800000
646,Constantine,75000000,76000000,221600000
451,Contact,90000000,100900000,165900000
870,Contagion,60000000,75700000,137600000
2184,Contraband,25000000,66500000,98400000
3177,Cool Runnings,14000000,68900000,155100000
873,Coraline,60000000,75300000,126000000
1886,Corpse Bride,30000000,53400000,114800000
851,Couples Retreat,60000000,109200000,172500000
1248,Courage Under Fire,46000000,59000000,100800000
133,Cowboys and Aliens,163000000,100400000,176000000
1276,Coyote Ugly,45000000,60800000,113900000
3978,Crash,7303082,55300000,101200000
1837,Crazy Rich Asians,30000000,174500000,238100000
1107,"Crazy, Stupid, Love",50000000,84400000,147100000
1590,Creed,37000000,109800000,173600000
1095,Creed II,50000000,115700000,213600000
1000,Crimson Tide,55000000,91400000,159400000
3826,Crocodile Dundee,8800000,174800000,328200000
3175,Crocodile Dundee 2,14000000,109300000,239600000
2998,"Crouching Tiger, Hidden Dragon",15000000,128100000,213500000
1124,Curious George,50000000,58600000,71100000
854,Daddy Day Care,60000000,104100000,164300000
1087,Daddyâs Home,50000000,150400000,242800000
704,Daddyâs Home 2,70000000,104000000,175800000
2724,Dances with Wolves,19000000,184200000,424200000
308,Dante's Peak,115000000,67200000,178200000
558,Daredevil,80000000,102500000,182800000
188,Dark Shadows,150000000,79700000,238200000
1883,Darkest Hour,30000000,56400000,150800000
998,Date Night,55000000,98700000,152300000
2047,Dawn of the Dead,28000000,59000000,103500000
116,Dawn of the Planet of the Apes,170000000,208500000,710600000
864,Days of Thunder,60000000,82700000,157700000
2926,Dead Poets Society,16400000,95900000,239500000
955,Deadpool,58000000,363100000,801000000
314,Deadpool 2,110000000,324600000,786700000
2176,Dear John,25000000,80000000,142000000
1012,Death Becomes Her,55000000,58400000,149000000
875,Deep Blue Sea,60000000,73600000,165000000
546,Deep Impact,80000000,140500000,349500000
146,Deepwater Horizon,156000000,61400000,122600000
749,Despicable Me,69000000,251500000,543500000
621,Despicable Me 2,76000000,368100000,975200000
629,Despicable Me 3,75000000,264600000,1034700000
2771,Deuce Bigalow: Male Gigolo,18000000,65500000,92900000
971,Devil's Advocate,57000000,61000000,153000000
3012,Diary of a Wimpy Kid,15000000,64000000,77000000
2779,Diary of a Wimpy Kid: Rodrick Rules,18000000,52700000,73700000
1232,Dick Tracy,47000000,103700000,162700000
204,Die Another Day,142000000,160900000,431900000
2037,Die Hard,28000000,81400000,139100000
702,Die Hard 2,70000000,117300000,239800000
453,Die Hard: With a Vengeance,90000000,100000000,366100000
750,Dinner for Schmucks,69000000,73000000,86800000
257,Dinosaur,127500000,137700000,356100000
1002,Disclosure,55000000,83000000,212200000
1103,Disney Planes,50000000,90300000,238100000
70,Disneyâs A Christmas Carol,190000000,137900000,315700000
1846,District 9,30000000,115600000,212500000
2506,Disturbia,20000000,80800000,118500000
494,Divergent,85000000,150900000,276000000
368,Django Unchained,100000000,162800000,449900000
690,Doctor Dolittle,71500000,144200000,294200000
762,Doctor Seuss' The Lorax,67500000,214000000,351000000
127,Doctor Strange,165000000,232600000,676400000
3466,Doctor Zhivago,11000000,111900000,112000000
1847,Dodgeball: A True Underdog Story,30000000,114300000,167800000
1592,Dolphin Tale,37000000,72300000,96100000
3538,Donât Breathe,10000000,89200000,159000000
1128,Donât Say a Word,50000000,55000000,104500000
1385,Double Jeopardy,40000000,116700000,177800000
1872,Down to Earth,30000000,64200000,71200000
683,Dr. Dolittle 2,72000000,113000000,176100000
627,Dr. Seussâ The Grinch,75000000,270600000,511000000
720,Dracula Untold,70000000,56000000,220200000
641,Dreamgirls,75000000,103400000,155700000
3952,Driving Miss Daisy,7500000,106600000,106600000
2518,Drumline,20000000,56400000,56400000
783,Due Date,65000000,100500000,211700000
2927,Dumb & Dumber,16000000,127200000,246400000
1400,Dumb and Dumber To,40000000,86200000,156600000
121,Dumbo,170000000,113900000,345000000
168,Dunkirk,150000000,190100000,499800000
579,DÃ©jÃ Vu,80000000,64000000,181000000
3525,ET: The Extra-Terrestrial,10500000,435100000,793000000
559,Eagle Eye,80000000,101400000,180600000
3866,Easy A,8000000,58400000,76200000
866,Eat Pray Love,60000000,80600000,206600000
94,Edge of Tomorrow,178000000,100200000,370500000
2522,Edward Scissorhands,20000000,54000000,54000000
1403,Eight Below,40000000,81600000,120500000
1788,Elf,32000000,173800000,220700000
291,Elysium,120000000,93100000,286200000
497,Enchanted,85000000,127700000,340400000
385,End of Days,100000000,66900000,212000000
335,Ender's Game,110000000,61700000,128000000
502,Enemy of the State,85000000,111500000,250600000
767,Entrapment,66000000,87700000,211700000
376,Epic,100000000,107500000,262800000
382,Eragon,100000000,75000000,249500000
377,Eraser,100000000,101300000,234400000
1094,Erin Brockovich,50000000,125500000,257800000
1427,Escape From Planet Earth,40000000,57000000,74200000
108,Evan Almighty,175000000,100300000,174100000
2126,Ever After: A Cinderella Story,26000000,65700000,65700000
2876,Evil Dead,17000000,54200000,97800000
1014,Executive Decision,55000000,56700000,122100000
215,Exodus: Gods and Kings,140000000,65000000,268300000
796,Eyes Wide Shut,65000000,55700000,104300000
554,Face/Off,80000000,112300000,241200000
4114,Fahrenheit 9/11,6000000,119100000,221100000
1104,Failure to Launch,50000000,88700000,128400000
4868,Fantasia,2280000,83300000,83300000
576,Fantasia 2000 (Theatrical Release),80000000,69600000,69600000
84,Fantastic Beasts and Where to Find Them,180000000,234000000,802400000
59,Fantastic Beasts: The Crimes of Grindelwald,200000000,159600000,652200000
484,Fantastic Four,87500000,154700000,333100000
286,Fantastic Four: Rise of the Silver Surfer,120000000,131900000,289500000
492,Fast & Furious,85000000,155100000,363100000
266,Fast Five,125000000,210000000,630200000
139,Fast and Furious 6,160000000,238700000,789300000
3172,Fatal Attraction,14000000,156600000,320100000
2336,Fences,24000000,57700000,64300000
313,Ferdinand,111000000,84400000,289800000
3769,Fiddler on the Roof,9000000,80500000,80500000
990,Fifty Shades Darker,55000000,114400000,381400000
996,Fifty Shades Freed,55000000,100400000,371400000
1377,Fifty Shades of Grey,40000000,166200000,571000000
2373,Final Destination,23000000,53300000,112000000
2190,Final Destination 3,25000000,54100000,112800000
45,Finding Dory,200000000,486300000,1021200000
424,Finding Nemo,94000000,380500000,936400000
3988,Flashdance,7000000,90500000,201500000
2127,Flatliners,26000000,61300000,61300000
