,genre_ids,original_language,popularity,title,vote_average,vote_count
15405,['Documentary'],en,1.705,(Dis)Honesty: The Truth About Lies,7.1,32
8324,['Documentary'],en,6.013,1,7.4,53
7911,"['Drama', 'History']",en,16.493,12 Years a Slave,7.9,6631
93,"['Adventure', 'Drama', 'Thriller']",en,11.435,127 Hours,7.0,4469
2681,"['Adventure', 'Drama', 'Action']",ja,8.866,13 Assassins,7.3,514
17399,"['Action', 'Drama', 'History', 'Thriller', 'War']",en,21.486,13 Hours: The Secret Soldiers of Benghazi,7.0,1573
17978,['Documentary'],en,5.746,13th,8.1,271
14810,"['Romance', 'Drama']",ru,4.598,14+,7.2,35
787,"['Comedy', 'Documentary', 'Drama']",en,2.219,180° South: Conquerors of the Useless,7.1,31
8127,"['Documentary', 'Music']",en,7.866,20 Feet from Stardom,7.4,127
11522,"['Documentary', 'Drama', 'Music']",en,6.125,"20,000 Days on Earth",7.2,101
23872,"['Science Fiction', 'Mystery', 'Adventure']",en,23.781,2001: A Space Odyssey,8.0,5837
21090,"['Science Fiction', 'Thriller']",en,7.381,2036: Nexus Dawn,7.1,147
20839,['Drama'],en,10.413,20th Century Women,7.4,504
24222,"['Drama', 'History', 'Thriller', 'Crime']",en,9.247,22 July,7.2,450
15082,"['Thriller', 'Documentary']",en,2.592,"3 ½ Minutes, 10 Bullets",7.5,42
11375,['Drama'],es,7.349,4 Moons,7.6,92
7989,['Drama'],en,11.28,42,7.0,1028
14448,"['Comedy', 'Drama']",en,7.919,4th Man Out,7.0,203
11399,"['Comedy', 'Romance']",en,7.045,5 to 7,7.2,187
2556,"['Comedy', 'Drama']",en,12.451,50/50,7.1,2111
3252,"['Documentary', 'TV Movie']",en,2.718,6 Days to Air: The Making of South Park,7.5,52
21315,['Documentary'],en,5.271,78/52,7.6,48
8607,"['Documentary', 'Music']",en,3.133,A Band Called Death,7.2,47
2922,['Drama'],en,5.885,A Better Life,7.1,97
8392,"['Drama', 'Comedy']",en,5.318,A Coffee in Berlin,7.2,178
17620,"['Crime', 'Drama', 'Mystery', 'Thriller']",da,9.295,A Conspiracy of Faith,7.0,230
20869,"['Comedy', 'Drama', 'Family', 'Fantasy']",en,9.854,A Dog's Purpose,7.2,1484
24262,['Drama'],es,8.745,A Fantastic Woman,7.1,336
20776,"['Drama', 'Fantasy', 'Romance']",en,11.886,A Ghost Story,7.0,906
17892,['Drama'],en,6.418,A Girl Like Her,7.3,164
17941,"['Action', 'Crime', 'Thriller']",ko,6.044,A Hard Day,7.0,149
8092,"['Comedy', 'Fantasy', 'Animation', 'Drama', 'Family']",ja,8.421,A Letter to Momo,7.6,166
17771,"['Comedy', 'Drama']",sv,7.422,A Man Called Ove,7.4,430
131,"['Animation', 'Comedy', 'Family', 'Crime', 'Mystery']",en,10.1,A Matter of Loaf and Death,7.2,219
20804,"['Drama', 'Fantasy']",en,11.128,A Monster Calls,7.1,1918
21472,['Documentary'],en,3.553,A Plastic Ocean,7.7,41
23847,"['Drama', 'Horror', 'Thriller', 'Science Fiction']",en,29.154,A Quiet Place,7.3,5848
5418,"['Drama', 'History', 'Romance']",da,7.637,A Royal Affair,7.4,451
2702,['Drama'],fa,8.51,A Separation,7.9,792
20743,"['Drama', 'Animation', 'Romance']",ja,13.187,A Silent Voice,8.3,1034
5591,['Drama'],cn,5.877,A Simple Life,7.3,58
23828,"['Drama', 'Romance', 'Music']",en,35.848,A Star Is Born,7.5,5676
21121,"['Drama', 'Family', 'Comedy']",en,7.12,A Street Cat Named Bob,7.5,500
11615,['Drama'],no,5.265,A Thousand Times Good Night,7.1,56
8304,['Drama'],zh,6.171,A Touch of Sin,7.3,114
21356,['Documentary'],en,4.833,Abacus: Small Enough to Jail,7.3,39
7940,"['Comedy', 'Drama', 'Science Fiction']",en,14.133,About Time,7.9,3981
24359,"['Comedy', 'TV Movie', 'Music']",en,7.767,Adam Sandler: 100% Fresh,7.3,45
3161,['Music'],en,3.226,Adele: Live at the Royal Albert Hall,7.3,34
17749,"['TV Movie', 'Comedy']",en,7.652,Adventures in Babysitting,7.1,137
18070,"['Drama', 'History']",ro,4.911,Aferim!,7.9,44
2766,"['Documentary', 'Family', 'Adventure']",en,7.709,African Cats,7.1,105
5632,['Documentary'],en,5.305,Ai Weiwei: Never Sorry,7.2,49
17765,['Comedy'],en,7.488,Ali Wong: Baby Cobra,7.5,74
17992,"['Drama', 'Romance']",en,5.645,Ali and Nino,7.0,35
11985,['Documentary'],en,2.431,Alive Inside,7.7,43
58,['Drama'],en,13.163,All About Eve,8.2,685
14335,"['Drama', 'War']",en,9.583,All Quiet on the Western Front,7.8,299
18281,['Documentary'],en,2.86,All Things Must Pass,7.3,49
2594,"['Drama', 'Music']",en,11.022,Almost Famous,7.5,1339
24179,"['Drama', 'Fantasy', 'Action']",ko,9.902,Along with the Gods: The Last 49 Days,7.5,46
20791,"['Drama', 'Fantasy', 'Action']",ko,11.33,Along with the Gods: The Two Worlds,7.7,110
23992,"['Drama', 'Crime', 'Documentary']",en,14.619,American Animals,7.0,315
11057,"['War', 'Action']",en,18.473,American Sniper,7.4,7658
839,"['Comedy', 'Documentary']",en,2.068,American: The Bill Hicks Story,7.7,32
5293,"['Drama', 'Romance']",fr,10.705,Amour,7.7,746
14433,"['Documentary', 'Music']",en,8.094,Amy,7.6,704
8266,['Drama'],en,6.5,An Adventure in Space and Time,7.9,103
11497,"['History', 'Comedy', 'Documentary']",en,6.301,An Honest Liar,7.3,100
21093,['Documentary'],en,7.357,An Inconvenient Sequel: Truth to Power,7.0,75
24859,"['Drama', 'Mystery']",en,4.169,An Interview with God,7.0,44
11109,"['Crime', 'Drama', 'Mystery', 'Thriller']",en,12.71,Anatomy of a Murder,7.9,359
24352,['Documentary'],en,7.809,Andre the Giant,7.1,54
14529,"['Crime', 'Drama', 'Horror', 'Thriller']",de,7.102,Angst,7.3,108
14309,"['Animation', 'Comedy', 'Drama', 'Romance']",en,10.285,Anomalisa,7.1,927
161,"['Comedy', 'Drama']",en,9.394,Another Year,7.0,150
14171,"['Science Fiction', 'Action', 'Adventure']",en,32.715,Ant-Man,7.1,11949
