,movie_id,primary_title,original_title,start_year,genres,average_rating,num_votes,persons_name,persons_job,title_norm,id,release_date,movie,production_budget,domestic_gross,worldwide_gross
0,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.5,358813,Johnny Depp,actor,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
1,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.5,358813,Helena Bonham Carter,actress,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
2,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.5,358813,Tim Burton,director,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
3,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.5,358813,Anne Hathaway,actress,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
4,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.5,358813,Joe Roth,producer,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
5,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.5,358813,Lewis Carroll,writer,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
6,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.5,358813,Jennifer Todd,producer,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
7,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.5,358813,Suzanne Todd,producer,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
8,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.5,358813,Linda Woolverton,writer,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
9,tt1014759,Alice in Wonderland,Alice in Wonderland,2010,"Adventure,Family,Fantasy",6.5,358813,Mia Wasikowska,actress,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
30,tt2049386,Alice in Wonderland,Alice in Wonderland,2010,"Fantasy,Singing",6.5,6,James Fotopoulos,director,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
31,tt2049386,Alice in Wonderland,Alice in Wonderland,2010,"Fantasy,Singing",6.5,6,Lauren Nicole Goode,actress,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
32,tt2049386,Alice in Wonderland,Alice in Wonderland,2010,"Fantasy,Singing",6.5,6,Nate Archer,composer,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
33,tt2049386,Alice in Wonderland,Alice in Wonderland,2010,"Fantasy,Singing",6.5,6,Lauren Chapman,producer,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
34,tt2049386,Alice in Wonderland,Alice in Wonderland,2010,"Fantasy,Singing",6.5,6,Sarah Evans,actress,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
35,tt2049386,Alice in Wonderland,Alice in Wonderland,2010,"Fantasy,Singing",6.5,6,Ono,composer,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
36,tt2049386,Alice in Wonderland,Alice in Wonderland,2010,"Fantasy,Singing",6.5,6,Walter Slaughter,composer,alice in wonderland 2010,51,"Mar 5, 2010",Alice in Wonderland,200000000,334191110,1025491110
37,tt1294226,The Last Song,The Last Song,2010,"Drama,Music,Romance",6.0,74914,Greg Kinnear,actor,the last song 2010,15,"Mar 31, 2010",The Last Song,20000000,62950384,92678948
38,tt1294226,The Last Song,The Last Song,2010,"Drama,Music,Romance",6.0,74914,Jennifer Gibgot,producer,the last song 2010,15,"Mar 31, 2010",The Last Song,20000000,62950384,92678948
39,tt1294226,The Last Song,The Last Song,2010,"Drama,Music,Romance",6.0,74914,Adam Shankman,producer,the last song 2010,15,"Mar 31, 2010",The Last Song,20000000,62950384,92678948
40,tt1294226,The Last Song,The Last Song,2010,"Drama,Music,Romance",6.0,74914,Nicholas Sparks,writer,the last song 2010,15,"Mar 31, 2010",The Last Song,20000000,62950384,92678948
41,tt1294226,The Last Song,The Last Song,2010,"Drama,Music,Romance",6.0,74914,Aaron Zigman,composer,the last song 2010,15,"Mar 31, 2010",The Last Song,20000000,62950384,92678948
42,tt1294226,The Last Song,The Last Song,2010,"Drama,Music,Romance",6.0,74914,Miley Cyrus,actress,the last song 2010,15,"Mar 31, 2010",The Last Song,20000000,62950384,92678948
